birthday	blitz_games	blitz_k	blitz_rating	country	fideid	flag	games	k	name	o_title	rapid_games	rapid_k	rapid_rating	rating	sex	title	w_title
				CAN	2625032												
				TTO	7704658												
				IRI	12509850				Abassi, Omid								
				IRI	12509868				Abbasi, Omid		0	20	1818				
				IRI	12509876				Abbaspor, Farzaneh								
				IRI	12504823				Abdargashti, Sh.								
				YEM	9401300				Abdel Rab, Redan								
				BAN	10205802				Abdul, Barek								
				BAN	10205810	i	0	20	Abdul, Wadud					1831			
				PLE	11500727				Abdulkarim, Ammar								
				YEM	9400869				Abdulrab, Raouf M.								
				BAN	10204270				Abedin, Md. Zainal								
				IND	5033799				Abhinav, Verma								
				IND	5041368				Abhyanakr, Apurva								
				IRI	12506575	i	0	40	Abpeikar, S.E.					1870			
				KEN	10800425				Abur, Lyndah Amollo								
				MAR	9001670				Achrah, Abderrahmane								
				IND	5041929				Adarsh, A R								
				IND	5046009				Adgaonkar, Chaitali								
				IND	5041694				Aggarwal, Rakesh								
				GRE	4220587				Aggelis, Ioannis								
				IRI	12504831				Aghababaei, A								
				IRI	12509922				Aghahosseini, Sadreddin								
				IND	5036208				Ahaan, Nachane								
				BAN	10204288				Ahmed, Shajal Hanif								
				MAR	9000984				Ait Kerroum, Abdelatif								
				BRU	10500243				Ak, Qadri Pg Md Omar								
				IRI	12506583				Akbari, Gholamreza								
				IND	5041953				Akhil, Sabjan Shah M								
				MAR	9001158				Akkour, Abderahim								
				YEM	9401326				Al Haidari, Waleed								
				YEM	9401342	i	0	40	Al Junaidi, Yaser					2011			
				YEM	9401350	i	0	40	Al Saidy, Saleh					2015			
				SYR	7601468				Al, Buni Asaad								
				BAN	10204296				Al, Kayum Rizbi								
1991				UAE	9302646				Al, Khouri Ibraheem								
				QAT	12100463				Al, Qahtani Khalifa Abd Rabbo								
				YEM	9401369				Al-agbari, Abdulhalim								
				YEM	9401377				Al-aghbari, Abdulhalim								
				YEM	9401385				Al-haleelah, Ayman								
				MAR	9001689				Al-Rafee, Tariq								
				YEM	9401393				Al-saidy, Saleh								
				SYR	7602200				Al-tarboush, Ward								
1994				ARG	172421	i	0	20	Alegre, Eugenia		0	20	1677	1694			
				BAN	10204504		0	40	Ali, Md. Liakot					1765			
				SYR	7601670	i	0	40	Ali, Nehad					2113			
				UAE	9301801				Ali, Obaid Ali								
				IRI	12506591				Alivand, Majid								
				SYR	7601476				Almeer, Afamia								
				YEM	9401415				Alwashali, Alhasan								
				IND	5027829				Amar, Sen								
				IND	5046165				Ambar, Khalil								
				IND	5046173				Ambesh, Kumar								
				IRI	12509973	i	0	40	Amikhteh, Amer					2024			
				BAN	10203702				Amin, Md. Ruhul								
				BAN	10205837		0	20	Aminul, Islam Helal					1810			
				IRI	12509981				Amiri, Parham								
				IND	5046335				Anand, Naik								
				GRE	4220633				Androutsos, Avraam-Alvertos								
				GRE	4220641				Angelaki, Filia								
				IND	5036232				Anish, Menon								
				IND	5034124				Anthony, Ajish								
				IND	5024129				Anu, Deep								
				IND	5046521				Anuja, Bombatkar								
				IRI	12504858				Anvari, Gh								
				IND	5041961				Aparna, R								
				IND	5046726	i	0	40	Ashok Kumar, M					1930			
				IND	5035732				Ashok, K. Shah								
				IND	5035325				Ashok, Kumar R								
				IND	5035457				Ashraf, Kalil								
				KEN	10800433				Asiema, Christian								
				IND	5046793	i	0	40	Asim, Billah					1502			
				ARG	172510				Astaburuaga, Daniel								
				GRE	4220749				Athanasiadis, Ahileas								
				YEM	9401423				Awat, Amimah								
				BAN	10205845				Azad, Abul Kashem								
				SRI	9902201				Azad, Anfas								
				IRI	12510050	i	0	40	Azizi, Abdolrahman					1740			
				BAN	10205853				B.m., Mushlimuddin								
				IND	5038626				B.R., Lalithkumar								
				BAN	10204300				Badiul, Alam								
				IND	5028779				Bafna, Ashish								
				IRI	12506214				Bagherpour, Amir								
				IND	5046874				Bajaj, Prince								
				SYR	7601484				Baker, Jwan								
				AHO	7500416				Balentin, Nishanti . I								
				IND	5046920		0	40	Bandaru, Swaroop Kumar					1395			
				SYR	7601069				Banewi, Kram Malek								
1964				GRE	4213696		0	20	Banos, Polyhronis					1791			
				IND	5046947				Bansode, Sachin								
				IRI	12506699				Barkpoor, Kamran								
				BAN	10205861	i	0	40	Barua, Panna					1588			
				IND	5004187				Barve, R S								
				IRI	12510068	i	0	40	Bastanfar, Taha					1835			
				IND	5038634				Bawlekar, Jitesh								
				MAR	9001107				Ben Boubaker, Houcine								
				MAR	9001085				Ben Mostafa, Youssif								
				MAR	9001700				Bennani, Elias								
				MAR	9001719				Bennasser, Moanisse								
				ARG	108162				Beron, Ruben								
